# Center : 156.006559445 -57.7522222222    
# Center : 10:24:01.57 -57:45:08           
#                                arcmin  arcmin mag      mag    mag     mag   mag   mag   mag   mag V I B U DI    mag     mag     mag     mag    mag    mag               
#   ID ID_aex    xc       yc      R.A.    I.E.C. V        V-I   B-V     U-B    eV  e(V-I)e(B-V)e(U-B)Nobs---charac J      J-H     H-Ks    eJ   e(J-H)e(H-Ks)2mass name    
     1  16988 1551.325  -22.048  -9.935   1.365 22.177   .000  1.564   .000  .032  .000  .079  .000 1 0 1 0                                                                  
     2  16989 1655.164  -20.532  -9.933   1.832 22.234   .000  2.007   .000  .032  .000  .082  .000 1 0 1 0                                                                  
     3  16992 1670.636  -16.713  -9.917   1.901 18.927   .000  2.377   .851  .005  .000  .010  .082 1 0 1 1      13.400  1.063   .433   .026   .035   .034 10224728-5743139  
     4  16995 1490.486  -15.374  -9.902   1.092 21.455   .000  1.759   .000  .017  .000  .040  .000 1 0 1 0                                                                  
     5  16998 1416.054  -13.830  -9.891    .758 20.251   .000  1.264   .000  .008  .000  .014  .000 1 0 1 0                                                                  
     6  16990  871.827  -19.196  -9.887  -1.685 22.431   .000  1.873   .000  .034  .000  .086  .000 1 0 1 0                                                                  
     7  17000 1438.730  -11.694  -9.883    .860 20.575   .000  1.381   .000  .005  .000  .016  .000 1 0 1 0                                                                  
     8  17015 1923.759   -4.359  -9.874   3.040 19.548   .000  1.286   .647  .003  .000  .004  .045 1 0 1 1      16.430   .000   .000   .124 -9.999 -9.999 10224765-5742056  
     9  17005 1546.800   -8.309  -9.873   1.345 20.805   .000  1.532   .000  .007  .000  .023  .000 1 0 1 0                                                                  
    10  16997  988.476  -14.238  -9.871  -1.162 22.649   .000  1.612   .000  .040  .000  .092  .000 1 0 1 0                                                                  
    11  16993  755.950  -16.234  -9.868  -2.204 21.744   .000  2.087   .000  .024  .000  .069  .000 1 0 1 0                                                                  
    12  16996  885.667  -14.586  -9.867  -1.623 17.916   .000   .999   .625  .001  .000  .002  .016 1 0 1 1      16.010   .661   .011   .078   .132   .194 10224754-5746454  
    13  16991  539.488  -17.457  -9.862  -3.173 20.135   .000  1.444   .000  .006  .000  .013  .000 1 0 1 0                                                                  
    14  17547  652.216  -15.143  -9.857  -2.669 15.392   .000   .563   .071  .002  .000  .002  .002 1 0 1 1      14.188   .316   .053   .036   .050   .068 10224757-5747481  
    15  17019 1798.081   -1.728  -9.856   2.475 20.177   .000  1.795   .000  .004  .000  .016  .000 1 0 1 0      15.974   .997  -.052   .082   .105   .150 10224774-5742395  
    16  17006 1172.772   -7.970  -9.852   -.334 21.894   .000  1.480   .000  .022  .000  .040  .000 1 0 1 0                                                                  
