#Star             Xc        Yc      Mag      Merr  Airmass UT             V       B-V     V-I      R-I   nV nBV nVI nRI 
  L101-421        504.155   496.882  13.718   0.003 1.76400    5.519958  13.184   0.514   0.618   0.303  61  61  61  63
  L101-424        697.104   729.613  15.815   0.015 1.76400    5.519958  15.081   0.745   0.805   0.381  69  69  60  59
  L101-427        505.598  1070.857  15.737   0.014 1.76400    5.519958  14.996   0.779   0.881   0.421  92  84  53  53
  L101-429        289.152  1364.733  14.443   0.005 1.76400    5.519958  13.499   0.978   1.144   0.515 114 108  75  72
  L101-431        367.732  1679.017  14.855   0.007 1.76400    5.519958  13.686   1.242   1.516   0.709 105 101  68  68
  L101-L6         365.341  1802.354  17.134   0.044 1.76400    5.519958  16.530   0.715   0.830   0.405  83  79  47  47
  L101-S17        -14.700   224.988   0.000   0.000 1.76400    5.519958  17.588   0.880   1.064   0.489  60  60  60  63
  L101-S20        633.299   326.883  18.588   0.179 1.76400    5.519958  18.655   0.714   0.868   0.439  60  58  57  57
  L101-S26        405.738   538.524  19.365   0.354 1.76400    5.519958  19.167   1.382   1.702   0.807  61  47  58  58
  L101-S29        143.950   657.014  17.500   0.062 1.76400    5.519958  16.800   0.621   0.739   0.361  71  70  60  56
  L101-S32        426.837   708.982  17.404   0.059 1.76400    5.519958  16.747   0.715   0.824   0.396  70  70  63  56
  L101-S35        863.842   750.243  16.448   0.025 1.76400    5.519958  15.539   0.924   1.044   0.484  83  81  65  62
  L101-S41        672.199   885.573  18.027   0.103 1.76400    5.519958  17.096   0.839   0.958   0.456  73  72  41  38
  L101-S45        452.615  1115.531  18.603   0.165 1.76400    5.519958  17.856   0.718   0.823   0.396  91  81  52  52
  L101-S66        684.438  1638.969  19.872   0.550 1.76400    5.519958  18.503   0.997   1.163   0.538  76  59  39  39
  L101-S77        181.244  2195.464  19.222   0.307 1.76400    5.519958  19.491   1.541   2.127   1.115  67  31  42  42
  L101-S78         37.279  2208.873  15.754   0.013 1.76400    5.519958  14.767   1.036   1.242   0.551  73  72  42  42
  L101-S88        122.765  2453.644  15.977   0.016 1.76400    5.519958  15.466   0.531   0.657   0.329  47  47  32  27
  L101-S90        865.150  2529.676  19.480   0.360 1.76400    5.519958  18.571   1.533   2.045   1.071  43  35  40  35
  L101-S92        359.914  2562.193  16.809   0.034 1.76400    5.519958  16.189   0.655   0.740   0.367  39  39  39  32
  L101-S93        766.252  2590.191  14.628   0.005 1.76400    5.519958  14.080   0.580   0.701   0.357  39  39  39  31
  L101-S260       949.782    23.298  18.852   0.236 1.76400    5.519958  17.621   1.215   1.468   0.663  69  69  65  64
  L101-S261      1041.348   556.663  16.823   0.035 1.76400    5.519958  15.991   0.833   0.956   0.448  54  54  54  57
  L101-S262      1349.588   780.641  17.966   0.098 1.76400    5.519958  16.794   1.338   1.630   0.740  61  61  50  50
  L101-S263      1192.155   919.768  19.588   0.418 1.76400    5.519958  18.336   1.628   2.518   1.456  31  31  30  30
  L101-S264      1193.098  1080.401  19.981   0.635 1.76400    5.519958  18.170   0.447   0.615   0.315  48  48  36  36
  L101-S265      1340.064  1123.088  18.707   0.190 1.76400    5.519958  17.539   1.561   2.281   1.267  57  55  34  34
  L101-S266      1172.211  1155.983  20.537   1.025 1.76400    5.519958  18.635   1.597   2.470   1.408  50  40  38  38
  L101-S267      1010.139  1183.406   0.000   0.000 1.76400    5.519958  19.101   1.585   2.217   1.209  47  33  43  43
  L101-S268      1335.592  1421.851  18.877   0.221 1.76400    5.519958  18.658   1.238   1.544   0.703  55  49  34  34
  L101-S269      1102.304  1551.417  15.000   0.007 1.76400    5.519958  14.356   0.664   0.739   0.364  48  47  42  38
  L101-S270      1231.699  1818.355  24.115  26.840 1.76400    5.519958  18.966   1.771   2.679   1.551  35  32  34  34
  L101-S271       610.116  2704.933  18.390   0.142 1.76400    5.519958  17.541   1.231   1.446   0.651  44  44  39  33
  L101-S274       550.694  2749.408  19.272   0.305 1.76400    5.519958  18.129   1.095   1.367   0.653  35  33  27  25
  L101-S276      1173.103  2839.764  19.372   0.337 1.76400    5.519958  18.611   1.583   2.240   1.212  19  19  19  20
  L101-S311      1762.121    67.524  17.937   0.104 1.76400    5.519958  17.170   1.165   1.385   0.604  57  57  52  52
  L101-S312      1799.925   168.889  14.949   0.007 1.76400    5.519958  14.453   0.525   0.637   0.308  57  57  52  52
  L101-S313      1878.800   190.319  16.324   0.024 1.76400    5.519958  15.514   0.533   0.674   0.333  57  57  52  52
  L101-S314      1897.254   273.192  16.636   0.033 1.76400    5.519958  16.017   0.588   0.710   0.348  50  50  50  52
  L101-S318      1955.984   515.792  15.668   0.013 1.76400    5.519958  15.033   0.622   0.741   0.357  49  49  48  48
  L101-S338      1538.116  2059.371  14.076   0.004 1.76400    5.519958  12.946   1.195   1.249   0.582  55  55  34  34
  L101-S345       702.030  2893.826  18.074   0.105 1.76400    5.519958  17.457   0.898   1.040   0.477  42  41  31  31
  L101-S348      1354.456  2955.857  17.081   0.040 1.76400    5.519958  16.358   0.818   0.933   0.435  44  42  33  30
  L101-S350       641.943  2954.401  18.247   0.119 1.76400    5.519958  17.590   0.459   0.614   0.316  42  42  31  30
  L101-S352       779.866  2990.715  15.659   0.012 1.76400    5.519958  15.062   0.656   0.798   0.395  44  41  33  30
  L101-S356      1052.470  3053.463  14.314   0.004 1.76400    5.519958  13.498   0.879   1.007   0.455  36  36  33  30
  L101-S358      1037.014  3102.015  14.819   0.006 1.76400    5.519958  14.233   0.617   0.701   0.347  36  36  33  30
  L101-S360      1674.523  3201.044  19.773   0.488 1.76400    5.519958  18.198   1.530   2.065   1.084  44  34  33  30
