#Star             Xc        Yc      Mag      Merr  Airmass UT             V       B-V     V-I      R-I   nV nBV nVI nRI 
  L101-338       1783.808   590.556  13.163   0.003 1.71700    5.428327  13.806   0.614   0.720   0.346  66  66  66  57
  L101-339        886.590   620.963  13.671   0.005 1.71700    5.428327  14.518   0.809   0.901   0.414  63  63  62  56
  L101-341       1580.806  1263.050  13.778   0.005 1.71700    5.428327  14.374   0.567   0.643   0.305  92  86  53  51
  L101-342       1590.920  1340.654  14.964   0.015 1.71700    5.428327  15.592   0.537   0.668   0.325  91  85  53  50
  L101-343       1351.313  1343.741  14.812   0.012 1.71700    5.428327  15.510   0.648   0.757   0.360  59  59  52  50
  L101-S13       1245.231    85.752  14.974   0.014 1.71700    5.428327  16.011   0.933   1.100   0.500  61  61  61  64
  L101-S14       1514.796   104.581  17.348   0.124 1.71700    5.428327  18.801   0.892   1.061   0.489  64  60  58  58
  L101-S15       1636.920   115.878  14.460   0.009 1.71700    5.428327  15.127   0.642   0.743   0.361  68  68  65  64
  L101-S18        612.326   283.061  17.113   0.105 1.71700    5.428327  17.940   0.841   1.008   0.484  54  54  54  56
  L101-S19        284.979   303.608  16.573   0.063 1.71700    5.428327  17.550   0.867   1.013   0.475  52  52  52  58
  L101-S21       1349.953   400.975  17.066   0.094 1.71700    5.428327  17.749   0.569   0.706   0.346  60  60  60  60
  L101-S22       1799.711   450.770  17.228   0.109 1.71700    5.428327  18.807   1.473   1.793   0.853  57  51  57  61
  L101-S23        894.924   475.266  16.695   0.070 1.71700    5.428327  17.934   0.978   1.170   0.525  58  58  58  61
  L101-S25        476.549   543.791  15.487   0.024 1.71700    5.428327  16.509   0.920   1.067   0.489  55  55  55  51
  L101-S30        395.979   681.986  17.713   0.178 1.71700    5.428327  18.748   0.580   0.754   0.384  57  51  52  52
  L101-S31        864.318   694.032  16.456   0.055 1.71700    5.428327  17.175   0.760   0.837   0.394  59  59  59  52
  L101-S33        501.339   727.089  16.256   0.047 1.71700    5.428327  18.267   1.455   1.904   0.963  59  48  58  54
  L101-S36       1993.774   783.000  16.060   0.036 1.71700    5.428327  17.888   1.472   1.901   0.956  98  77  72  63
  L101-S37        904.714   795.973  17.529   0.147 1.71700    5.428327  18.022   0.460   0.638   0.319  74  71  54  54
  L101-S38       1918.064   814.299  17.621   0.155 1.71700    5.428327  19.460   1.478   1.959   0.979  80  37  62  57
  L101-S39        922.229   840.167  16.303   0.049 1.71700    5.428327  17.065   0.578   0.733   0.355  71  68  49  49
  L101-S40       1937.947   871.061  16.824   0.076 1.71700    5.428327  19.011   1.472   2.097   1.115  78  47  55  47
  L101-S42        622.882   905.426  16.570   0.060 1.71700    5.428327  18.317   1.460   1.815   0.874  48  38  36  34
  L101-S44        277.512  1124.849  16.192   0.044 1.71700    5.428327  18.025   1.494   1.853   0.908  63  54  44  44
  L101-S46        883.888  1171.888  16.025   0.036 1.71700    5.428327  18.066   1.470   2.095   1.112  69  57  44  44
  L101-S47       1543.233  1177.043  17.586   0.158 1.71700    5.428327  18.231   0.621   0.792   0.382  85  73  51  51
  L101-S48       2002.980  1182.380  13.373   0.004 1.71700    5.428327  14.184   0.788   0.892   0.407  96  90  57  51
  L101-S49        648.829  1185.590  16.847   0.079 1.71700    5.428327  17.943   0.831   0.951   0.452  65  61  44  44
  L101-S50       1182.697  1194.250  15.521   0.024 1.71700    5.428327  16.274   0.720   0.791   0.369  61  61  53  51
  L101-S51       1796.670  1223.649  17.036   0.090 1.71700    5.428327  18.558   1.208   1.456   0.649  88  63  53  50
  L101-S53        291.398  1278.727  16.578   0.058 1.71700    5.428327  18.269   1.290   1.513   0.687  62  52  42  42
  L101-S56       1425.559  1349.655  16.103   0.040 1.71700    5.428327  16.898   0.631   0.814   0.399  59  59  52  50
  L101-S57        449.515  1357.943  17.329   0.120 1.71700    5.428327  18.960   1.431   1.765   0.844  59  42  43  42
  L101-S59        647.027  1385.600  16.509   0.054 1.71700    5.428327  17.205   0.747   0.800   0.384  62  62  43  41
  L101-S60       1556.174  1403.357  15.440   0.021 1.71700    5.428327  16.447   1.024   1.110   0.486  90  81  52  49
  L101-S61        985.338  1442.005  16.444   0.055 1.71700    5.428327  17.212   0.582   0.716   0.358  66  66  48  44
  L101-S62       1466.575  1464.626  16.120   0.041 1.71700    5.428327  16.827   0.516   0.659   0.323  75  75  52  47
  L101-S63        773.045  1514.158  17.017   0.092 1.71700    5.428327  18.045   0.940   1.105   0.517  60  56  43  40
  L101-S64        420.071  1533.267  16.809   0.077 1.71700    5.428327  19.155   1.582   2.364   1.319  56  33  43  40
  L101-S65       1924.814  1551.072  12.045   0.001 1.71700    5.428327  12.749   0.658   0.783   0.368  91  88  56  47
  L101-S67       2031.343  1666.173   0.000   0.000 1.71700    5.428327  15.191   0.647   0.812   0.399  85  81  49  47
  L101-S70       1095.227  1914.156  13.751   0.005 1.71700    5.428327  14.517   0.742   0.813   0.376  59  59  47  47
  L101-S71        295.011  1926.092  16.990   0.089 1.71700    5.428327  18.851   1.434   1.830   0.916  53  38  39  39
  L101-S72       1385.256  1988.991  17.882   0.199 1.71700    5.428327  19.696   1.611   2.118   1.087  39  20  39  45
  L101-S73       1569.887  2063.945  12.704   0.002 1.71700    5.428327  13.449   0.737   0.809   0.371  82  72  47  46
  L101-S74        833.960  2095.823  17.415   0.127 1.71700    5.428327  18.612   1.094   1.320   0.592  56  43  40  39
  L101-S75       1088.991  2149.933  16.464   0.054 1.71700    5.428327  18.497   1.576   1.981   0.989  55  43  43  43
  L101-S76       1815.207  2185.785  17.499   0.143 1.71700    5.428327  19.245   1.328   1.587   0.711  73  44  42  42
  L101-S80       2001.440  2253.432  17.732   0.167 1.71700    5.428327  19.610   1.527   1.960   0.974  65  30  42  42
  L101-S81       1816.968  2283.867  17.279   0.115 1.71700    5.428327  18.512   0.770   0.944   0.459  71  63  42  42
  L101-S82       1232.596  2322.033  13.691   0.005 1.71700    5.428327  14.390   0.649   0.738   0.348  48  48  42  42
  L101-S83        455.157  2327.697  17.173   0.107 1.71700    5.428327  19.652   1.619   2.555   1.450  47  15  39  39
  L101-S84       1483.389  2348.217  18.482   0.358 1.71700    5.428327  18.871   0.473   0.647   0.328  60  58  39  39
  L101-S85       1849.721  2353.676  15.262   0.019 1.71700    5.428327  16.886   1.413   1.717   0.799  69  69  42  42
  L101-S86       2034.839  2359.881   0.000   0.000 1.71700    5.428327  18.078   0.018  -0.175  -0.090  67  66  40  40
  L101-S87       1213.076  2429.759  13.910   0.006 1.71700    5.428327  14.765   0.806   0.906   0.435  48  48  42  42
  L101-S89        927.024  2503.623  15.437   0.021 1.71700    5.428327  17.268   1.458   1.834   0.893  40  40  39  33
  L101-S91       1882.554  2541.350  17.002   0.091 1.71700    5.428327  19.332   1.553   2.260   1.229  36  22  36  36
  L101-S272      1347.084  2707.880  16.617   0.062 1.71700    5.428327  18.441   1.474   1.821   0.890  43  31  39  33
  L101-S275      1102.203  2784.555  16.442   0.052 1.71700    5.428327  18.493   1.518   2.124   1.129  23  20  16  13
  L101-S277      1728.368  2842.768  14.099   0.007 1.71700    5.428327  14.772   0.628   0.739   0.365  29  29  25  20
  L101-S346       317.923  2903.789  15.693   0.027 1.71700    5.428327  17.236   1.270   1.598   0.731  31  31  30  26
  L101-S347      1509.208  2906.694  15.660   0.027 1.71700    5.428327  16.664   0.783   0.971   0.474  44  43  33  30
  L101-S349      1251.958  2949.009  12.405   0.002 1.71700    5.428327  13.431   0.995   1.070   0.506  35  35  31  30
  L101-S354       247.107  3017.938  15.394   0.021 1.71700    5.428327  16.100   0.628   0.741   0.350  38  34  30  25
  L101-S362       985.112  3200.649  12.690   0.002 1.71700    5.428327  13.453   0.710   0.810   0.394  33  33  30  27
  L101-S363      1344.869  3205.649  13.054   0.003 1.71700    5.428327  13.751   0.623   0.747   0.367  36  36  33  30
  L101-S365      1187.281  3258.657  13.747   0.005 1.71700    5.428327  14.459   0.656   0.759   0.377  36  36  33  30
  L101-S368      1384.605  3325.338  16.449   0.053 1.71700    5.428327  18.298   1.456   1.826   0.896  36  29  33  30
  L101-S375       444.637  3799.556  16.413   0.052 1.71700    5.428327  17.255   0.621   0.775   0.394  39  36  30  25
  L101-S378       854.035  3830.871  16.617   0.062 1.71700    5.428327  18.338   1.324   1.645   0.765  40  31  30  27
  L101-S386      1610.520  4108.129   0.000   0.000 1.71700    5.428327  16.659   1.206   1.387   0.618  52  45  33  30
  L101-S521       350.406  3028.401  17.418   0.128 1.71700    5.428327  18.311   0.756   0.929   0.430  39  30  30  25
e L101-S524      1669.942  3180.624  14.512   0.010 1.71700    5.428327  15.271   0.656   0.770   0.387  52  45  33  29
  L101-S773      1137.691   241.640  18.040   0.230 1.71700    5.428327  19.720  80.279   1.771   0.820  24   0  13  13
  L101-S796      1738.833  1597.909  17.733   0.178 1.71700    5.428327  20.062  79.937   2.269   1.200  27   0  13   8
  L101-S816      2019.651  2679.783  18.172   0.274 1.71700    5.428327  20.260  79.739   1.822  81.561  12   0   8   0
  L104-334        840.954   228.207  12.904   0.003 1.72800    1.750587  13.486   0.523   0.646   0.328 122  98 115  71
  L104-336        951.383   462.877  13.611   0.005 1.72800    1.750587  14.409   0.822   0.867   0.409 117  90 109  64
  L104-338       1268.727   770.797  15.469   0.023 1.72800    1.750587  16.074   0.590   0.701   0.356  94  70  92  56
  L104-339        569.795   944.183  14.584   0.011 1.72800    1.750587  15.474   0.836   0.947   0.452  96  77  95  47
  L104-S46       2025.921   475.090  16.085   0.043 1.72800    1.750587  16.890   0.730   0.817   0.399  98  76  95  48
  L104-S47       1380.720   529.624  16.064   0.038 1.72800    1.750587  17.481   1.279   1.464   0.651  93  68  90  48
  L104-S51        393.892   784.913  16.987   0.092 1.72800    1.750587  18.046   0.911   1.088   0.534  84  68  82  50
  L104-S53        531.801   901.214  16.364   0.051 1.72800    1.750587  17.361   0.819   0.925   0.449  90  72  90  46
  L104-S56       1730.109  1128.655  15.439   0.022 1.72800    1.750587  16.203   0.706   0.817   0.411 102  79  96  51
  L104-S61       1710.765  1721.288  17.051   0.101 1.72800    1.750587  17.835   0.586   0.682   0.360  96  75  88  56
  L104-S62       1771.745  1749.406  16.078   0.040 1.72800    1.750587  16.748   0.616   0.718   0.366  96  76  95  56
  L104-S66       1534.673  2017.246  15.338   0.022 1.72800    1.750587  16.589   1.157   1.350   0.601  84  61  79  47
  L104-S201        85.326   103.941  16.762   0.075 1.72800    1.750587  19.314   1.532   2.561   1.495  63  25  63  44
  L104-S204      1986.581   187.484  17.202   0.111 1.72800    1.750587  19.301   1.490   2.117   1.138  67  25  67  49
  L104-S206      1752.688   209.140  17.730   0.176 1.72800    1.750587  18.458   0.518   0.660   0.344  88  72  81  49
  L104-S211       526.626   301.327  18.284   0.307 1.72800    1.750587  19.815  80.184   0.951   0.447  48   0  48  35
