#Star             Xc        Yc      Mag      Merr  Airmass UT             V       B-V     V-I      R-I   nV nBV nVI nRI 
  L101-421        506.855   499.868  12.814   0.002 1.74000    5.474119  13.184   0.514   0.618   0.303  61  61  61  63
  L101-424        699.863   732.468  14.712   0.007 1.74000    5.474119  15.081   0.745   0.805   0.381  69  69  60  59
  L101-427        508.241  1073.798  14.634   0.006 1.74000    5.474119  14.996   0.779   0.881   0.421  92  84  53  53
  L101-429        291.986  1367.426  13.138   0.002 1.74000    5.474119  13.499   0.978   1.144   0.515 114 108  75  72
  L101-431        370.668  1681.847  13.322   0.002 1.74000    5.474119  13.686   1.242   1.516   0.709 105 101  68  68
  L101-L6         368.086  1805.059  16.122   0.020 1.74000    5.474119  16.530   0.715   0.830   0.405  83  79  47  47
  L101-S20        636.070   329.877  18.217   0.142 1.74000    5.474119  18.655   0.714   0.868   0.439  60  58  57  57
  L101-S26        408.997   541.620  18.922   0.254 1.74000    5.474119  19.167   1.382   1.702   0.807  61  47  58  58
  L101-S29        146.244   659.864  16.462   0.027 1.74000    5.474119  16.800   0.621   0.739   0.361  71  70  60  56
  L101-S32        429.354   711.901  16.385   0.025 1.74000    5.474119  16.747   0.715   0.824   0.396  70  70  63  56
  L101-S35        866.352   753.170  15.171   0.009 1.74000    5.474119  15.539   0.924   1.044   0.484  83  81  65  62
  L101-S41        674.891   888.737  16.719   0.035 1.74000    5.474119  17.096   0.839   0.958   0.456  73  72  41  38
  L101-S45        455.484  1118.533  17.509   0.072 1.74000    5.474119  17.856   0.718   0.823   0.396  91  81  52  52
  L101-S66        687.622  1641.566  18.028   0.113 1.74000    5.474119  18.503   0.997   1.163   0.538  76  59  39  39
  L101-S77        183.571  2198.235  18.665   0.195 1.74000    5.474119  19.491   1.541   2.127   1.115  67  31  42  42
  L101-S78         39.828  2211.881  14.414   0.005 1.74000    5.474119  14.767   1.036   1.242   0.551  73  72  42  42
  L101-S88        124.933  2456.822  15.106   0.008 1.74000    5.474119  15.466   0.531   0.657   0.329  47  47  32  27
  L101-S90        867.548  2532.376  18.079   0.116 1.74000    5.474119  18.571   1.533   2.045   1.071  43  35  40  35
  L101-S92        362.237  2565.356  15.819   0.016 1.74000    5.474119  16.189   0.655   0.740   0.367  39  39  39  32
  L101-S93        768.814  2593.113  13.693   0.003 1.74000    5.474119  14.080   0.580   0.701   0.357  39  39  39  31
  L101-S260       952.166    26.770  17.285   0.060 1.74000    5.474119  17.621   1.215   1.468   0.663  69  69  65  64
  L101-S261      1043.861   559.703  15.633   0.013 1.74000    5.474119  15.991   0.833   0.956   0.448  54  54  54  57
  L101-S262      1352.068   783.675  16.396   0.027 1.74000    5.474119  16.794   1.338   1.630   0.740  61  61  50  50
  L101-S263      1195.058   923.019  18.007   0.114 1.74000    5.474119  18.336   1.628   2.518   1.456  31  31  30  30
  L101-S264      1195.574  1083.428  17.970   0.108 1.74000    5.474119  18.170   0.447   0.615   0.315  48  48  36  36
  L101-S265      1343.016  1126.083  17.294   0.057 1.74000    5.474119  17.539   1.561   2.281   1.267  57  55  34  34
